name,description,website,city,state,country,region,subregion,tags,year,program,isExit,isUnicorn,isBCorp,isCurrentSession,linkedin,twitter,facebook,crunchbase,logo
OpenLoop,"OpenLoop is a digital health company that offers comprehensive telehealth solutions, providing a full-stack, white-label infrastructure for healthcare organizations.",https://openloophealth.com,Iowa City,Iowa,United States,Americas,North America,Artificial intelligence and machine learning; Digital health; Healthtech,2020,Techstars Iowa Accelerator,false,true,false,false,https://linkedin.com/company/openloophealth,https://twitter.com/openloophealth,https://facebook.com/openloophealth/,https://crunchbase.com/organization/openloop,https://apimg.techstars.com/connect/images/image_files/5f2b207ca36c113b60000074/original/rigns.JPG
Twelve,"We are the carbon transformation(tm) company. We make the world's most critical chemicals, materials and fuels from air with our revolutionary carbon transformation(tm) technology.",https://twelve.co,Berkeley,California,United States,Americas,North America,Cleantech; Climate tech,2018,Equinor & Techstars Energy Accelerator,false,true,false,false,https://linkedin.com/company/twelveco2,https://twitter.com/twelve_co2,https://facebook.com/twelve.co2/,https://crunchbase.com/organization/opus-12,http://apimg.techstars.com/sf/accounts/logo/Logo_f45a56574167f2ee6d5c0a8c3.png
Branch,Mobile-first financial wellness app supporting hourly workers.,https://branchapp.com,Minneapolis,Minnesota,United States,Americas,North America,Fintech; Mobile,2016,"Techstars Retail Accelerator, in partnership with Target",false,false,false,false,https://linkedin.com/company/branch-app,https://twitter.com/branchmessenger,https://facebook.com/branch/,https://crunchbase.com/organization/branch-messenger,http://apimg.techstars.com/sf/accounts/logo/Logo_f1c3476cbdffc39d749e8e974.jpg
Preply,a fast growing marketplace for tutoring,https://preply.com,Brighton,Massachusetts,United States,Americas,North America,Edtech,2015,Techstars Berlin Accelerator,false,true,false,false,https://linkedin.com/company/2762432,https://twitter.com/preplycom,https://facebook.com/preply/,https://crunchbase.com/organization/preply,http://apimg.techstars.com/sf/accounts/logo/Logo_668fb1d15aabf384f49af288a.png
GINGER.IO,"Coaching, therapy, and psychiatry from the privacy of your smartphone.",https://ginger.com,San Francisco,California,United States,Americas,North America,Digital health; Healthtech; Mobile,2011,Techstars Boston Accelerator,true,true,false,false,https://linkedin.com/company/carebyginger,https://twitter.com/carebyginger,https://facebook.com/pages/Gingerio/216227078391733,https://crunchbase.com/organization/ginger-io,http://apimg.techstars.com/sf/accounts/logo/Logo_ce8f17c6295ddf11064c3a407.jpg
Novo,Novo is a fintech that offers a banking platform to meet the needs of small businesses for free business checking and faster money movement.,https://novo.co,New York City,New York,United States,Americas,North America,Artificial intelligence and machine learning; Fintech,2017,"New York Barclays Accelerator, powered by Techstars",false,false,false,false,https://linkedin.com/company/novo-hq,https://twitter.com/novo_hq,https://facebook.com/Novo.coHQ/,https://crunchbase.com/organization/novo-4f69,http://apimg.techstars.com/sf/accounts/logo/Logo_4b955cd12a20542228c99af71.jpg
GlossGenius,"GlossGenius is a smart, automated personal assistant that helps beauty professionals manage and grow their businesses",https://glossgenius.com,New York City,New York,United States,Americas,North America,Beauty; Marketing tech; Mobile,2015,Techstars New York City Accelerator,false,false,false,false,https://linkedin.com/company/glossgenius,https://twitter.com/glossgenius,https://facebook.com/glossgenius,https://crunchbase.com/organization/glossgenuis,http://apimg.techstars.com/sf/accounts/logo/Logo_e9450bf4113c0271d565384b8.png
Newsela,Daily news articles that are extracted from national and regional newspapers,https://newsela.com,New York City,New York,United States,Americas,North America,Edtech,2013,"Kaplan EdTech Accelerator, powered by Techstars",false,true,false,false,https://linkedin.com/company/newsela,https://twitter.com/Newsela,https://facebook.com/pages/Newsela/185071784987014,https://crunchbase.com/organization/newsela,http://apimg.techstars.com/sf/accounts/logo/Logo_2999adf58a40cccc15f35ceb9.png
Sendbird,SendBird is the world's no.1 chat API for mobile apps and websites.,https://sendbird.com,San Mateo,California,United States,Americas,North America,Mobile,2014,Techstars London Accelerator,false,true,false,false,https://linkedin.com/company/sendbird,https://twitter.com/sendbird,https://facebook.com/sendbird,https://crunchbase.com/organization/sendbird,https://apimg.techstars.com/connect/images/image_files/609b0bfcac092500084d40d9/original/Sendbird_Symbol_RGB_whiteBG.png
PillPack,We're a full-service online pharmacy that packages your medication and delivers to your door every month.,https://pillpack.com,Manchester,New Hampshire,United States,Americas,North America,Digital health,2013,Techstars Boston Accelerator,true,true,false,false,https://linkedin.com/company/pillpack,https://twitter.com/pillpack,https://facebook.com/pillpack,https://crunchbase.com/organization/pillpack,https://apimg.techstars.com/connect/images/image_files/5359/5caa/cb58/5a85/1900/0006/original/pillpack.jpg
Openly,Beautifully Simple Insurance,https://openly.com,Boston,Massachusetts,United States,Americas,North America,Fintech; Insurtech,2018,Techstars Boston Accelerator,false,false,false,false,https://linkedin.com/company/openlyinc,https://twitter.com/openlyllc,https://facebook.com/openlyllc,https://crunchbase.com/organization/openly-inc,http://apimg.techstars.com/sf/accounts/logo/Logo_c676d0eaccce5f4ec8f4d5a1c.png
Kadence,"SaaS, B2B SaaS, Future of Work",https://kadence.co,Wilmington,Delaware,United States,Americas,North America,Mobile,2014,"R/GA Accelerator, powered by Techstars",false,false,false,false,https://linkedin.com/company/kadenceos,https://twitter.com/KadenceOS,https://facebook.com/KadenceOS,https://crunchbase.com/organization/kadence-503c,https://apimg.techstars.com/connect/images/image_files/54d1237a1e6c0182ac000013/original/unnamed-1.jpg
Kepler Communications,Enabling real-time communications access to other spacecraft by developing a constellation of data relaying satellites that will effectively act as on-orbit cell phone towers.,https://kepler.space,Toronto,Ontario,Canada,Americas,North America,Industrials; Infrastructure; Internet of Things; Space tech,2016,Techstars Seattle Accelerator,false,false,false,false,https://linkedin.com/company/kepler-communications-inc-,https://twitter.com/KeplerComms,https://facebook.com/KeplerCommunications,https://crunchbase.com/organization/kepler-communications,https://apimg.techstars.com/connect/images/image_files/56abe5fba93e9f7cb0000002/original/KEPLERNEW.jpg
Gorgias,Manage all your customer support in one place with Gorgias.,https://gorgias.com,San Francisco,California,United States,Americas,North America,"Artificial intelligence and machine learning; Big Data; Technology, media and telecommunications",2015,Techstars New York City Accelerator,false,false,true,false,https://linkedin.com/company/gorgias,https://twitter.com/gorgiasio,https://facebook.com/gorgiasio,https://crunchbase.com/organization/gorgias,http://apimg.techstars.com/sf/accounts/logo/Logo_aa36cce7bc34ab49ea05fd4f0.png
Bevi,Bevi is a smart water cooler that customizes still and sparkling water with healthy flavors.,https://bevi.co,Concord,Massachusetts,United States,Americas,North America,Cleantech; Foodtech,2014,Techstars Boston Accelerator,false,false,false,false,https://linkedin.com/company/bevi,https://twitter.com/getbevi,https://facebook.com/pages/Bevi/921798307850581,https://crunchbase.com/organization/bevi#/entity,http://apimg.techstars.com/sf/accounts/logo/Logo_4c573cd1fb2cd8ecd3f1e8f52.png
Artera,Artera is the SaaS digital health leader in patient communications and two-time Best in KLAS winner in Patient Outreach.,https://artera.io,Santa Barbara,California,United States,Americas,North America,Digital health; Healthtech; Mobile,2016,"Techstars Healthcare, in partnership with Cedars-Sinai",false,false,false,false,https://linkedin.com/company/artera-io,https://twitter.com/Artera_io,https://facebook.com/artera.io/,https://crunchbase.com/organization/well-health-inc,http://apimg.techstars.com/sf/accounts/logo/Logo_e83ca5d72e3613e17d4784ef5.jpg
Tive,Sensor driven supply chain optimization.,https://tive.com,Boston,Massachusetts,United States,Americas,North America,Internet of Things; Supply chain technology,2017,Techstars Boston Accelerator,false,false,false,false,https://linkedin.com/company/tiveinc,https://twitter.com/tiveinc,,https://crunchbase.com/organization/tive,http://apimg.techstars.com/sf/accounts/logo/Logo_8d7fa326f7f88b94b64779cca.jpg
Funnel Leasing,Making it easier to find a place to live,https://funnelleasing.com,New York City,New York,United States,Americas,North America,"Marketing tech; Real estate tech; Technology, media and telecommunications",2011,Techstars New York City Accelerator,false,false,false,false,https://linkedin.com/company/funnelleasing,https://twitter.com/FunnelLeasing,https://facebook.com/funnelleasing/,https://crunchbase.com/organization/nestio,https://apimg.techstars.com/connect/images/image_files/600f34a12553130008000098/original/funnel.jpg
Synack,Crowdsourced vulnerability discovery,https://synack.com,Redwood City,California,United States,Americas,North America,Artificial intelligence and machine learning; Cybersecurity,2013,Techstars Boston Accelerator,false,false,false,false,https://linkedin.com/company/synack-inc-,https://twitter.com/synack,https://facebook.com/synack,https://crunchbase.com/organization/synack,http://apimg.techstars.com/sf/accounts/logo/Logo_5961685be5823d9a83d22be15.jpg
Splitty,Splitting your hotel stay into multiple reservations to get you the lowest rates on your room,https://splittytravel.com,Rishon LeZion,,Israel,Middle East,Middle East,Mobile commerce,2016,Techstars Atlanta powered by Cox Enterprises,true,false,false,false,https://linkedin.com/company/10340686,https://twitter.com/splittytravel,https://facebook.com/splittytravel,https://crunchbase.com/organization/splitty-travel-ltd,https://apimg.techstars.com/connect/images/image_files/600f4395608740000900009e/original/splittytravel.jpg
MANTL,Mantl is a banking technology company that provides workflow management and automation tools for banks and credit unions.,https://mantl.com,New York City,New York,United States,Americas,North America,Fintech; Mobile,2016,Techstars New York City Accelerator,true,false,false,false,https://linkedin.com/company/mantl,https://twitter.com/mantl_tech,https://facebook.com/mantltech/,https://crunchbase.com/organization/mantl,http://apimg.techstars.com/sf/accounts/logo/Logo_af4f55c8c2abfc5134f0fb9c1.png
Ordermark,Stream all your online orders to one device. Watch your sales grow.,https://ordermark.com,Los Angeles,California,United States,Americas,North America,Foodtech; Mobility tech; Supply chain technology,2018,Techstars Boulder Accelerator,true,false,false,false,https://linkedin.com/company/ordermark,https://twitter.com/getordermark,https://facebook.com/Ordermark/,https://crunchbase.com/organization/ordermark,https://apimg.techstars.com/connect/images/image_files/5ab1c0159c66a963c000000e/original/22228217_1622436647819788_5344081107652374931_n.png
INSPECTORIO,Using data and machine learning to improve quality control and bring transparency to the supply chain.,https://inspectorio.com,Minneapolis,Minnesota,United States,Americas,North America,Artificial intelligence and machine learning; Climate tech,2016,"Techstars Retail Accelerator, in partnership with Target",false,false,false,false,https://linkedin.com/company/inspectorio,https://twitter.com/inspectorio,https://facebook.com/inspectorioinc,https://crunchbase.com/organization/inspectorio,https://apimg.techstars.com/connect/images/image_files/579a7339bbe36f723600000b/original/logo_azul_INSPECTOR_fondo_blanco.png
Phoenix Tailings,"A mining company powered by technology, eliminating waste and creating sustainably produced metals #MaterialScience #Mining #B2B #Sustainability",https://phoenixtailings.com,Boston,Massachusetts,United States,Americas,North America,Cleantech; Climate tech; Fintech; Industrials; Infrastructure; Manufacturing; Mobility tech,2020,Techstars Boston Accelerator,false,false,false,false,https://linkedin.com/company/mvmindustrial,https://twitter.com/phoenixtailings,,https://crunchbase.com/organization/phoenix-tailings,https://apimg.techstars.com/connect/images/image_files/5ea30537a36c1125a6000006/original/PhoenixTailingsfromLinkedin.png
StatMuse,The Voice of Sports,https://statmuse.com,San Francisco,California,United States,Americas,North America,Artificial intelligence and machine learning,2015,"Disney Accelerator, powered by Techstars",false,false,false,false,https://linkedin.com/company/statmuse-inc-,https://twitter.com/StatMuse,https://facebook.com/statmuse,https://crunchbase.com/organization/statmuse,https://apimg.techstars.com/connect/images/image_files/559e8f3abbe36fadf6000005/original/Screenshot_2015-02-02_06.54.56.png
LogicGate,"Empowering businesses to transform disorganized risk and compliance processes into enterprise-grade applications, without writing a single line of code.",https://logicgate.com,Chicago,Illinois,United States,Americas,North America,"Technology, media and telecommunications",2016,Techstars Chicago Accelerator,false,false,false,false,https://linkedin.com/company/logic-gate,https://twitter.com/LogicGate,https://facebook.com/LogicGateRiskCloud/,https://crunchbase.com/organization/logicgate,http://apimg.techstars.com/sf/accounts/logo/Logo_74586ec60778a635b35f5f228.jpg
Narmi,"Helps financial institutions attract, engage and retain customers through superior online and mobile banking",https://narmi.com,New York City,New York,United States,Americas,North America,Fintech,2017,Techstars New York City Accelerator,false,false,false,false,https://linkedin.com/company/narmi,https://twitter.com/Narmi_Tech,https://facebook.com/narmitech,https://crunchbase.com/organization/narmi,http://apimg.techstars.com/sf/accounts/logo/Logo_ea4b5ac23416563587d0a295f.jpg
Damon Motorcycles,360o awareness for motorcycle riders,https://damon.com,Vancouver,British Columbia,Canada,Americas,North America,Artificial intelligence and machine learning; Mobility tech,2017,Techstars Detroit Accelerator,false,false,false,false,https://linkedin.com/company/damonxlabs,https://twitter.com/damonmotorcycle,https://facebook.com/damonmotorcycles/,https://crunchbase.com/organization/damon-x-labs,http://apimg.techstars.com/sf/accounts/logo/Logo_722f3b6e644e2ddb26c1ce9ae.jpg
Community,"Community is a mobile platform designed specifically for fan-engagement, enabling positive, high-quality interactions between influencers and superfans.",https://community.com,Los Angeles,California,United States,Americas,North America,Mobile,2017,Techstars Music Accelerator,false,false,false,false,https://linkedin.com/company/communitydotcom,https://twitter.com/community,https://facebook.com/incommunity/,https://crunchbase.com/organization/shimmur,http://apimg.techstars.com/sf/accounts/logo/Logo_b356979fe75a440760de3e4a9.jpg
Regard,"Automating documentation, so clinicians can get back to patients.",https://regard.com,Los Angeles,California,United States,Americas,North America,Artificial intelligence and machine learning; Healthtech; Insurtech,2017,"Techstars Healthcare, in partnership with Cedars-Sinai",false,false,false,false,https://linkedin.com/company/regard-technologies,https://twitter.com/RegardApp,,https://crunchbase.com/organization/healthtensor,https://apimg.techstars.com/connect/images/image_files/600f35d46a498b00080000a0/original/healthtensor.png
BentoBox,"Offering restaurants a platform to manage mobile-first websites, marketing and operations - BentoBox puts restaurants online.",https://getbento.com,New York City,New York,United States,Americas,North America,,2015,Techstars New York City Accelerator,true,false,false,false,https://linkedin.com/company/bentobox,https://twitter.com/get_bento,https://facebook.com/getbentobox/,https://crunchbase.com/organization/bentobox,http://apimg.techstars.com/sf/accounts/logo/Logo_9f0a6d495b447f4c71aa985d8.jpg
Trust & Will,"The easy, fast, and secure way to set up your estate plan online",https://trustandwill.com,San Diego,California,United States,Americas,North America,Fintech; Legal tech,2018,Techstars Anywhere Accelerator,false,false,true,false,https://linkedin.com/company/trustandwill,https://twitter.com/trustandwill,https://facebook.com/trustandwill,https://crunchbase.com/organization/trustandwill,http://apimg.techstars.com/sf/accounts/logo/Logo_0ac7f51a8ad0dd749e9a3ce29.jpg
Lifebit Biotech,LifeBit enables companies to do DNA analysis at scale.,https://lifebit.ai,London,,United Kingdom,Europe,Western Europe,Artificial intelligence and machine learning; Big Data; Healthtech,2017,Techstars London Accelerator,false,false,false,false,https://linkedin.com/company/lifebit-ai,https://twitter.com/lifebitAI,https://facebook.com/lifebitAI/,https://crunchbase.com/organization/lifebit-biotech,http://apimg.techstars.com/sf/accounts/logo/Logo_916c17d4b26dbc72f47f79e0a.png
Comet,Comet is doing for AI what GitHub did for software.,https://comet.com,New York City,New York,United States,Americas,North America,Artificial intelligence and machine learning; Big Data,2017,"Alexa Accelerator, Powered by Techstars",false,false,false,false,https://linkedin.com/company/comet-ml,https://twitter.com/Cometml,https://facebook.com/cometdotml/,https://crunchbase.com/organization/comet-ml,http://apimg.techstars.com/sf/accounts/logo/Logo_f8bfd2affa77af5eb129b0216.png
Project Canary,Continuous methane monitoring for the energy industry. ,https://projectcanary.com,Denver,Colorado,United States,Americas,North America,Cleantech; Climate tech; Industrials; Lifestyles of Health and Sustainability and wellness,2020,Techstars Alabama EnergyTech Accelerator,false,false,false,false,https://linkedin.com/company/projectcanary,https://twitter.com/ProjectCanary1,https://facebook.com/denverprojectcanary/,https://crunchbase.com/organization/project-canary,https://apimg.techstars.com/connect/images/image_files/5b75b106a36c110af2000002/original/Clair_Logo_small.png
DNSFilter,DNSFilter provides industry-leading DNS threat protection and content filtering.,https://dnsfilter.com,Washington,District of Columbia,United States,Americas,North America,Artificial intelligence and machine learning; Cybersecurity,2018,Techstars Anywhere Accelerator,false,false,false,false,https://linkedin.com/company/dnsfilter,https://twitter.com/dnsfilter,https://facebook.com/dnsfilter,https://crunchbase.com/organization/dnsfilter,http://apimg.techstars.com/sf/accounts/logo/Logo_357a25dff64b0fa92141aabf4.jpg
Solstice,Solstice radically expands access to clean energy by providing community-shared solar power to the 80 percent of Americans that cannot install a system on their rooftop.,https://solstice.us,Boston,Massachusetts,United States,Americas,North America,Cleantech; Climate tech,2017,Techstars Boston Accelerator,true,false,false,false,https://linkedin.com/company/solarforgood,https://twitter.com/solarforgood,https://facebook.com/solarforgood/,https://crunchbase.com/organization/solstice-2,http://apimg.techstars.com/sf/accounts/logo/Logo_64e5441b35bef05b1516e4aa3.png
Vitally,"From subscription analytics to customer success, Vitally provides B2B SaaS companies with a platform to convert trials, measure & grow MRR, and reduce churn.",https://vitally.io,New York City,New York,United States,Americas,North America,,2017,Techstars New York City Accelerator,false,false,false,false,https://linkedin.com/company/vitally.io,https://twitter.com/vitally_io,https://facebook.com/Vitally.io,https://crunchbase.com/organization/vitally,http://apimg.techstars.com/sf/accounts/logo/Logo_d1a4981a23710d90c4794640b.jpg
LevelTen Energy,"A renewable energy transaction platform connecting C&I power buyers to PPAs from utility-scale wind, solar, and storage projects",https://leveltenenergy.com,Seattle,Washington,United States,Americas,North America,Cleantech; Climate tech,2017,Techstars Seattle Accelerator,false,false,false,false,https://linkedin.com/company/levelten-energy,https://twitter.com/LevelTenEnergy,https://facebook.com/LevelTen-Energy-350401385419488/,https://crunchbase.com/organization/levelten-energy,http://apimg.techstars.com/sf/accounts/logo/Logo_eb0c9762e2f1211d3926d5e0a.png
Arrived,"Arrived is a platform for investing in equity shares of rental homes, starting from $100.",https://arrived.com,Seattle,Washington,United States,Americas,North America,Fintech; Real estate tech,2020,Techstars Atlanta powered by Cox Enterprises,false,false,false,false,https://linkedin.com/company/arrivedhomes,https://twitter.com/ArrivedHomes,https://facebook.com/arrivedhomes,https://crunchbase.com/organization/arrived-homes,http://apimg.techstars.com/sf/accounts/logo/Logo_ca504fa8b474a32255cc5d1a2.jpg
Healthie,Healthie is a web and mobile platform for dietitians and nutritionists to manage their practice.,https://gethealthie.com,New York City,New York,United States,Americas,North America,Healthtech; Lifestyles of Health and Sustainability and wellness,2016,Techstars New York City Accelerator,false,false,false,false,https://linkedin.com/company/get-healthie,https://twitter.com/gethealthie,https://facebook.com/GetHealthie/,https://crunchbase.com/organization/healthie,https://apimg.techstars.com/connect/images/image_files/57c8710a34b274e07600000e/original/Healthie.png
DataCamp,"Learn data analysis, interactively",https://datacamp.com,New York City,New York,United States,Americas,North America,Edtech,2015,Techstars New York City Accelerator,false,false,false,false,https://linkedin.com/school/datacampinc,https://twitter.com/DataCamp,https://facebook.com/pages/DataCamp/726282547396228,https://crunchbase.com/organization/data-camp,http://apimg.techstars.com/sf/accounts/logo/Logo_8d22bea59ad399a063c87d870.jpg
Slingshot Aerospace,"Slingshot develops technology to process and mine the disparate, ever-increasing deluge of signal data at a scale optimized for earth observation.",https://slingshot.space,El Segundo,California,United States,Americas,North America,Artificial intelligence and machine learning; Big Data; Robotics and Drones; Space tech,2017,Techstars Space Accelerator,false,false,false,false,https://linkedin.com/company/slingshot-aerospace,https://twitter.com/sling_shot_aero,https://facebook.com/slingshotaero/,https://crunchbase.com/organization/slingshot-aerospace#section-overview,http://apimg.techstars.com/sf/accounts/logo/Logo_9ee2a9e17c84b0aced7aae122.jpg
SkySpecs,Simplify the Management of Renewable Energy Assets We offer purpose-built technologies and services so our customers can deliver the most efficient energy.,https://skyspecs.com,Ann Arbor,Michigan,United States,Americas,North America,Cleantech; Climate tech; Robotics and Drones,2014,"R/GA Accelerator, powered by Techstars",false,false,false,false,https://linkedin.com/company/skyspecs,https://twitter.com/skyspecs,https://facebook.com/profile.php,https://crunchbase.com/organization/skyspecs,http://apimg.techstars.com/sf/accounts/logo/Logo_95d560e9e2a3b179ecf999e9d.png
Strategic Blue,Unlock cloud pricing,https://strategic-blue.com,London,,United Kingdom,Europe,Western Europe,Fintech,2013,Techstars Cloud,false,false,false,false,https://linkedin.com/company/795197,https://twitter.com/StrategicBlue,https://facebook.com/Strategic-Blue-Services-Limited-1432682070335924/,https://crunchbase.com/organization/strategic-blue,https://apimg.techstars.com/connect/images/image_files/55d4e72180832099c2000014/original/StrategicBlue.jpg
PadSplit,PadSplit is creating a world-class marketplace that provides the fastest and most effective solutions for the affordable housing crisis.,https://padsplit.com,Atlanta,Georgia,United States,Americas,North America,Real estate tech,2018,Techstars Atlanta powered by Cox Enterprises,false,false,false,false,https://linkedin.com/company/padsplit,https://twitter.com/padsplit,https://facebook.com/PadSplit/,https://crunchbase.com/organization/padsplit,https://apimg.techstars.com/connect/images/image_files/600f48036a498b00080000ac/original/padsplit.jpg
Convey,Convey helps businesses worldwide to take control of shipping and delivery.,https://getconvey.com,Austin,Texas,United States,Americas,North America,Supply chain technology,2014,Techstars Austin Accelerator,true,false,false,false,https://linkedin.com/company/convey-inc,https://twitter.com/get_convey,https://facebook.com/pivotfreight,https://crunchbase.com/organization/convey#/entity,https://apimg.techstars.com/connect/images/image_files/573b3456c2f1c4fe7e00001a/original/ConveyAvatarPrimary.png
Tasso,"Tasso has created HemoLink, a virtually painless device that allows patients to collect their own blood sample--enough blood to run standard lab tests",https://tassoinc.com,Seattle,Washington,United States,Americas,North America,Healthtech,2017,"Techstars Healthcare, in partnership with Cedars-Sinai",false,false,false,false,https://linkedin.com/company/tasso-inc-,https://twitter.com/tassoinc,https://facebook.com/teamtasso/,https://crunchbase.com/organization/tasso,http://apimg.techstars.com/sf/accounts/logo/Logo_c40bc07b7a43f7a0460a6f305.jpg
